TRACK_ID,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt1_n0_dx,dt1_n0_dy,dt2_n0_dx,dt2_n0_dy,dt4_n0_dx,dt4_n0_dy,dt8_n0_dx,dt8_n0_dy,dt12_n0_dx,dt12_n0_dy,dt16_n0_dx,dt16_n0_dy,track_id_unique_pred,track_id_parent_pred
0,0,2657,17,0,1274.295579654737,769.0419130254768,19.533392849027905,-2.6271832920074303,24.859379197675253,1.0169102206721163,28.54282139230577,18.896381254129324,-8.417763121204644,19.70751196052561,-77.60976303851658,26.189333236246508,-232.07153540339482,38.13053236510734,1,0
1,0,1668,42,0,1739.5551421725402,439.9031174376311,9.918654753787678,-2.2558296803296685,11.626168224353476,-4.447814550317163,5.693494559912778,-8.488306736181528,5.41130240362304,-14.988737369958471,3.7139318729221027,-13.816227628563981,1.179892607172178,-10.234228215023224,2,0
2,0,7207,19,0,1225.611760551718,1863.099728474996,13.735008486337163,-7.258170142389418,21.126995778339502,-9.774314269656543,34.518605064651176,-15.795119113968212,45.85206276883855,-27.61476789307926,53.18970886549005,-48.41320461132729,58.521489202051725,-43.201777626410596,3,0
3,0,2664,33,0,677.8943389609269,771.3060335661341,-6.919847616679932,7.816590522573506,-9.263343606082683,12.153667821384827,-25.936739317843717,18.387473117827998,-57.1797021507615,42.72031986823083,-99.05868914737356,66.19911636589164,-144.26461379216758,85.05706320095942,4,0
4,0,3274,28,0,1834.4509924278564,938.5055887628819,-4.334992014780482,-7.480728854805761,-7.344678704616853,-14.893061414045633,8.34083179030381,-5.506755233246054,0.0,0.0,0.0,0.0,0.0,0.0,5,0
5,0,3883,13,0,1666.0810644871756,1096.8216164678677,-28.46624053977416,-24.318073114330677,-48.716120611726865,-59.216859671615346,-95.97490740427202,-120.70169729594944,-169.91829236620197,-186.25700177271654,-180.1434709139091,-229.9844524493391,-310.07732791140637,-239.6774123819856,6,0
6,0,5771,41,0,1886.7206117208227,1629.5892588376669,28.314188155320156,-6.272355222780561,53.34594835961798,-17.204425902318235,100.80227659801426,-35.87621507680342,137.0130365425366,-39.89115702985941,152.29468089387208,-33.57728874789132,0.0,0.0,7,0
7,0,304,1,0,1887.0141526061443,0.0,8.000060000450276,0.0,4.000030000225252,0.0,-14.000105000787473,0.0,-56.000420003149436,0.0,-92.00069000517486,0.0,0.0,0.0,8,0
8,0,1968,20,0,1417.8475179566776,548.0478658155474,-17.82411073847698,-29.313831591741177,-14.570950034793439,-56.698189603554106,-11.297344890208025,-107.19316711793176,-46.5725086794921,-105.55550272061235,-134.95752343139088,-52.916100189379385,-155.3529713549824,4.093356910082548,9,0
9,0,3025,36,0,23.636473035597266,873.3200124227341,11.505944581108407,-3.5219285553830564,11.175079152606003,-7.609081818699793,5.554279145550031,-17.871572887896832,22.086543330065865,-47.31810017319276,12.63553357320596,-44.39387946692341,11.652088887137252,-23.82657905846645,10,0
10,0,6833,2,0,1526.7988494063325,1788.896200709529,-6.118105186311822,-0.370053738017532,-9.724702397096962,-2.750420635163892,-14.911311353677776,-13.291563421898672,-39.802562766871226,-19.64210924647091,-38.230485404891404,-16.289801905863897,-54.39598180350004,-7.4401089831233085,11,0
11,0,4723,43,0,873.3442012342348,1338.4032435981705,7.591751378983987,2.7037940757813885,14.227494631892569,-1.7984925462285446,37.184198297898654,-28.38569867143929,99.5531914711072,-73.21645253855127,172.56772092653546,-134.03824589275905,251.73242857474725,-193.90909301186483,12,0
12,0,1012,3,0,1015.7769481478903,230.73028994017037,-6.467704664325878,-6.423967019535724,-23.323399025878075,-2.8490607985124536,-24.890871926029035,0.9156604916100548,-24.40446965830745,-12.126185340646401,-28.854951835061,-14.793992570882326,-39.101962952517745,-29.114378968510923,13,0
13,0,2900,14,0,886.2833431573268,834.3216674193188,11.677414039877815,-15.052867467854641,22.049187633756446,-53.392593136586704,27.69360505031966,-86.92426401465309,47.29754906222149,-117.58612610781836,22.02679281763892,-23.361865850137967,16.75446942111455,1.0617605967854615,14,0
14,0,2485,25,0,1978.0774786690881,713.7260485665532,13.039914728433814,3.4861137815724987,17.13071331243941,-0.6192746846465981,4.496563558877597,-9.829906910606496,-20.530481961818627,-48.041035727398025,-16.960769474491826,-63.96942672560715,0.0,0.0,15,0
15,0,6491,46,0,1605.0015750189136,1738.683912341434,-6.020704696938993,-4.3039892428373605,-11.373970577744556,-4.594298544547883,-21.812032382675625,-11.651378159727528,-44.819253376730785,-19.990813597660924,-36.12847497674056,-26.608999155818534,-35.80078773086712,-22.03428820703061,16,0
16,0,2076,18,0,1230.7763494814135,591.2745471647557,27.31364466532682,-25.42250963285005,31.563864349082,-79.89120200632078,20.404376714615182,-202.28801528256432,-106.59564843618091,-288.7819536866174,-154.26261066245908,-67.78801123091694,-109.36340146650629,109.41184458922226,17,0
17,0,895,8,0,1614.1317396369848,195.96634643510242,55.980175667987616,-14.011895849742189,84.9607659393637,-30.54914438379396,119.96636607021036,-26.817193237989386,147.48936084942855,-9.892485939580638,147.16445417833188,-21.087397822400675,199.38447452525796,-7.498894136158071,18,0
12,1,14112,3,0,992.1970457643359,235.36445730521197,-6.222141032106151,-15.140192568626986,-0.8245672747528943,-16.760352705688007,-3.880772500892249,-16.264450679046547,-11.067184878706712,-22.072304419860927,-12.5150276956889,-39.59200658036423,-11.775041315399676,-39.05436439979448,13,0
8,1,14880,20,0,1384.638532728127,428.75689489165404,-7.369281130260331,6.931656294837411,-13.363523450942012,13.735468203281016,-49.5966807120335,35.28727265313171,-113.10591006045685,92.28840074777223,-110.91430501963237,125.04968779804778,-113.76007712660747,98.00804309344494,9,0
4,1,16738,28,0,1835.6829109807145,953.6158837414293,-0.8401520733602865,-6.365888103477347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
2,1,19650,19,0,1265.108101979397,1841.3090430247753,0.7502430593369809,-1.966942346023643,6.355721341159779,-5.824082442858981,11.795965506535367,-8.847887829162573,16.450252503766027,-26.89699933209613,23.52710932096056,-21.30962896400456,15.163237614678794,-45.75659908195212,3,0
16,1,14402,18,0,1204.5407022491618,313.5064703313924,-43.712697143679854,-10.236705022988872,-80.36000120392896,-11.013876853254033,-128.33991558068286,119.05460883845295,-120.92435855795223,291.5653374387,-31.011168445436397,388.49491244124977,1.0848799918749137,372.43567413385324,17,0
11,1,17860,43,0,947.0310311000467,1282.4430056092287,10.294330091057873,-7.567738365305331,25.866361605295424,-17.256214549609695,57.39591452993943,-40.862239648086636,149.14658769810273,-117.99838286625842,184.78590660266616,-143.5748427433393,231.6269257657385,-110.70387163948112,12,0
13,1,16006,14,0,915.4574954205248,720.9916963334438,12.31620281964581,-5.594738061445469,18.123396799023567,-4.256155021943074,20.49695970825462,33.32389294591508,-17.086299971340278,109.93946032337247,-8.756205630322711,112.73603873313948,-8.660844362514808,116.50233708489249,14,0
0,1,16230,17,0,1276.4490400781608,794.704227292081,-6.854046447136169,-2.541632285877085,-10.571223544628536,-5.954802306078478,-24.974737007631568,-2.3087647677330096,-174.89829281375202,15.838760424507313,-254.11453257798848,7.064463220914946,-269.20866322898917,-1.39405866976972,1,0
17,1,14030,8,0,1756.3087760109634,205.7099163471756,7.291988799765023,-0.6590650055245533,5.312324475449941,-19.636055851653797,-3.1369183966139644,-32.65743022006242,12.216280945865948,-18.901572175858547,74.25763366031471,-44.35560542226321,-7.7052596757553165,-75.92782329839383,18,0
6,1,19056,41,0,2010.2017944749189,1593.9389568466283,7.242840753800237,-3.3724777368279315,13.531853788440456,-4.240855038820881,28.21726314423063,-0.7746168618512002,28.813498139775906,4.073028243259613,0.0,0.0,0.0,0.0,7,0
1,1,14867,42,0,1741.5475610429505,426.88498122781374,3.7875378259579975,-1.2614410212616465,3.4188835332126932,-1.9706011601410864,2.8459887708750102,-1.1398664783503705,1.7214584895580174,1.0630212707533246,-6.5915161606521915,2.6642107347286133,-5.295109247926575,-7.11810191464059,2,0
9,1,16339,36,0,30.42873875188971,835.4701653700109,3.1944683676680583,0.5603913462125547,15.294277613773424,-9.46825312046974,9.459735500779908,-8.709751129884694,4.5408532824760925,3.916555590210805,4.893231461416249,49.487614509724274,4.262131095523657,48.34098468525258,10,0
7,1,13429,1,0,1844.0138301037257,0.0,-10.000075000562221,0.0,-13.000097500730815,0.0,-25.000187501406344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
5,1,16663,13,0,1516.3998085058024,933.2788830868595,-20.548175909113297,-6.854051306295446,-20.23703638482857,-22.714268391708398,-18.39679701473688,-51.97144650382927,-81.0955789402433,-61.22817576903901,-179.21755725794927,-77.14944683985073,-217.01824131440458,-104.97582641471557,6,0
15,1,19482,46,0,1570.2528598237714,1720.1957800735447,-5.235873213111064,0.5390294866083423,-10.070538181588743,-1.5026813297715762,-13.108737953673199,-0.43476822517732217,-1.3567794184777997,-10.251083838473503,13.002621073385852,-14.385921224388769,35.93839696513146,-33.563566754097565,16,0
14,1,15866,25,0,1975.1474115245471,683.3168741118129,-4.991742852588459,-6.987972096857676,-17.60041481727785,-17.63186127265783,-24.14858631860079,-26.402242488295546,0.0,0.0,0.0,0.0,0.0,0.0,15,0
3,1,16250,33,0,633.063308689471,804.1990748699478,-6.4931462405891125,6.350327568865168,-12.348671879305586,9.827278564417156,-35.08930551585661,23.768942965591922,-86.60212850296045,43.943685445544126,-113.14438524897649,60.588936614614,-127.2976910261688,68.7906581784747,4,0
10,1,19548,2,0,1506.2812288186303,1771.0128403152246,-7.972421805324759,-2.445029002102729,-19.28494217916932,-1.7587488521660362,-23.09153351955638,4.195728219640158,-22.82951446873221,7.190242017722768,-47.34634996397018,13.935138515688774,-88.70089232606165,13.382757903709035,11,0
6,2,45216,41,0,2039.0152926146948,1596.0119700897758,0.0,2.0000150001123984,0.0,2.0000150001123984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0
14,2,43235,25,0,1961.1167091945958,649.7566218409461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0
2,2,45577,19,0,1278.8014694172082,1814.6865238636685,4.116393123064198,2.1451447124823058,2.756885065954748,-0.27448017098913624,5.331780336561677,5.2114269849166694,5.563042037045534,-2.0765077599187407,-14.143012993964248,10.715715396012683,-24.509604254580378,-3.2174841042849494,3,0
0,2,43723,17,0,1196.6858166162206,795.2312462617233,-45.04835426809928,7.068899971757332,-95.13506935181158,15.311741454864887,-154.46177236487824,11.94119912886083,-179.6625164120419,-3.0941818436697304,-197.87777570580081,18.213653329290647,-208.48435339500352,61.968901319184745,1,0
15,2,45419,46,0,1568.8731000421728,1712.0749131856155,-3.894626690543191,-4.037424951310186,0.02298036312072327,-2.130216950544309,0.3276872458734488,4.574710948787924,19.923203620596272,-12.111399247401776,73.13039346465189,-51.22111086894734,112.99090283368878,-77.84945435320537,16,0
3,2,43823,33,0,578.8356498135532,837.5051499320258,-17.894209798259798,7.195731188413673,-32.3744696270428,10.637610383466154,-45.205924644793974,18.857946835067764,-62.8646449166755,30.381665971398657,-92.52578976316327,44.60069748987121,-136.534357788029,70.52269713895224,4,0
5,2,43856,13,0,1485.9375935732667,866.8371640185286,-12.969978087528714,-6.894278452666185,-50.63336400770754,5.213543299291928,-129.9338569974973,-9.692959932646543,-174.32937232709722,-24.888379191029344,-197.87420026281484,-34.580243944632336,-225.21178110654614,-6.961053320828682,6,0
17,2,41521,8,0,1761.2961938153169,174.8789486127018,-0.1644583394311212,3.0805716023975265,7.228863141512648,11.929395558615283,52.22002034692605,13.588503686242607,27.705719850344853,-27.894444943647873,-20.50844057863219,-41.399355296130956,-22.596906274051666,-40.53966307424047,18,0
1,2,42483,42,0,1743.2690740454627,426.08688980906715,0.05091896150406683,1.6150617074073352,-5.451295373859466e-05,1.8611126894999188,-2.5340392657499247,3.581999413540757,-7.982107724281378,-2.023540739702298,-7.894815125075411,-4.5745005671751064,-27.011947545551948,-5.932448347099693,2,0
10,2,45525,2,0,1488.5683640014408,1772.6063988036651,-2.4476575922064967,2.8436672774328144,-5.116649651542731,5.596683529281791,-16.165496398608642,8.849692922740589,-56.07168559021375,16.26213850452723,-70.58507323158483,5.1543766430984315,-36.970684107425775,-1.9305939657833733,11,0
7,2,40950,1,0,1795.0134626009694,0.0,7.000052500393848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
